Timestamp,Review,lowercased,contractions_replaced,translated_text,punctuations_removed,emojis_removed,slangs_replaced,spelling_corrected
2025/02/10 7:40:54 pm GMT+8,"Im happy with uniten actually, even the people are W","im happy with uniten actually, even the people are w","im happy with uniten actually, even the people are w","im happy with uniten actually, even the people are w",im happy with uniten actually even the people are w,im happy with uniten actually even the people are w,im happy with uniten actually even the people are wonderful,im happy with united actually even the people are wonderful
2025/02/10 7:41:00 pm GMT+8,"Iâ€™m having a pretty good time here, happy to meet all of the W people.","iâ € ™ m having a pretty good time here, happy to meet all of the w people.","iâ€™m having a pretty good time here, happy to meet all of the w people.","Iâ € ™ m having a pretty good time here, happy to meet all of the w people.",iâ € ™ m having a pretty good time here happy to meet all of the w people,iâ €  m having a pretty good time here happy to meet all of the w people,iâ €  m having a pretty good time here happy to meet all of the wonderful people,iâ €  m having a pretty good time here happy to meet all of the wonderful people
2025/02/10 7:41:19 pm GMT+8,a very neutral place in terms of everything,a very neutral place in terms of everything,a very neutral place in terms of everything,A Very Neutral Place in Terms of EVERYTHING,a very neutral place in terms of everything,a very neutral place in terms of everything,a very neutral place in terms of everything,a very neutral place in terms of everything
2025/02/10 7:46:40 pm GMT+8,"I would say Uniten it's  a good university  but there is some issue need to be improved such as transportation,wifi networks and other facilities  as well.","i would say uniten it is a good university but there is some issue need to be improved such as transportation, wifi networks and other facilities as well.","i would say uniten it is  a good university  but there is some issue need to be improved such as transportation,wifi networks and other facilities  as well.","I would say uniten it is a good university but there is some issue need to be improved such as transportation, wifi networks and other facilities as well.",i would say uniten it is a good university but there is some issue need to be improved such as transportation wifi networks and other facilities as well,i would say uniten it is a good university but there is some issue need to be improved such as transportation wifi networks and other facilities as well,i would say uniten it is a good university but there is some issue need to be improved such as transportation wifi networks and other facilities as well,i would say united it is a good university but there is some issue need to be improved such as transportation wifi networks and other facilities as well
2025/02/10 7:46:43 pm GMT+8," UNITEN is well-regarded, particularly for its strong engineering, computer science, and business programs. It has a solid reputation in Malaysia, especially in energy-related fields. The negative part is the facilities such as the swimming pool are close since my first year till 3 year now and there are limited parking so it's make hard to find.","uniten is well-regarded, particularly for its strong engineering, computer science, and business programs. it has a solid reputation in malaysia, especially in energy-related fields. the negative part is the facilities such as the swimming pool are close since my first year till 3 years now and there are limited parking so it is make hard to find."," uniten is well-regarded, particularly for its strong engineering, computer science, and business programs. it has a solid reputation in malaysia, especially in energy-related fields. the negative part is the facilities such as the swimming pool are close since my first year till 3 year now and there are limited parking so it is make hard to find.","Uniten is well-regarded, particularly for its strong engineering, computer science, and business programs. It has a solid reputation in Malaysia, especially in energy-related fields. The negative part is the facilities such as the swimming pool are close since my first year till 3 years now and there are limited parking so it is make hard to find.",uniten is wellregarded particularly for its strong engineering computer science and business programs it has a solid reputation in malaysia especially in energyrelated fields the negative part is the facilities such as the swimming pool are close since my first year till 3 years now and there are limited parking so it is make hard to find,uniten is wellregarded particularly for its strong engineering computer science and business programs it has a solid reputation in malaysia especially in energyrelated fields the negative part is the facilities such as the swimming pool are close since my first year till 3 years now and there are limited parking so it is make hard to find,uniten is wellregarded particularly for its strong engineering computer science and business programs it has a solid reputation in malaysia especially in energyrelated fields the negative part is the facilities such as the swimming pool are close since my first year till 3 years now and there are limited parking so it is make hard to find,united is wellregarded particularly for its strong engineering computer science and business programs it has a solid reputation in malaysia especially in energyrelated fields the negative part is the facilities such as the swimming pool are close since my first year till 3 years now and there are limited parking so it is make hard to find
2025/02/10 7:50:23 pm GMT+8,Neutral - Because currently UNITEN has developed various new facilities for UNITEN students such as 24 hours emart... Personally for the negative side I would say that UNITEN needs to fix the broken toilet in the library and BM/BN buildings,neutral - because currently uniten has developed various new facilities for units students such as 24 hours emart ... personally for the negative side i would say that uniten need to fix the broken toilet in the library and bm/bn buildings,neutral - because currently uniten has developed various new facilities for uniten students such as 24 hours emart... personally for the negative side i would say that uniten needs to fix the broken toilet in the library and bm/bn buildings,Neutral - because currently UNITEN has developed various new facilities for units students such as 24 hours emart ... personally for the negative side I would say that uniten need to fix the broken toilet in the library and BM/BN Buildings,neutral  because currently uniten has developed various new facilities for units students such as 24 hours emart  personally for the negative side i would say that uniten need to fix the broken toilet in the library and bmbn buildings,neutral  because currently uniten has developed various new facilities for units students such as 24 hours emart  personally for the negative side i would say that uniten need to fix the broken toilet in the library and bmbn buildings,neutral  because currently uniten has developed various new facilities for units students such as 24 hours smart  personally for the negative side i would say that uniten need to fix the broken toilet in the library and been buildings,neutral  because currently united has developed various new facilities for units students such as 24 hours smart  personally for the negative side i would say that united need to fix the broken toilet in the library and been buildings
2025/02/10 7:51:50 pm GMT+8,regret,regrett,regret,regrett,regrett,regrett,regret,regret
2025/02/10 7:56:00 pm GMT+8,"In my opinion, UNITEN is not really a student-oriented university even though it is a private university. The facility is not in well-maintained condition and the flexibility of using the facilities is low. The number of students also low compared to other universities.","in my opinion, uniten is not really a student-oriented university even though it is a private university. the facility is not in well-maintained condition and the flexibility of using the facilities is low. the number of students is also low compared to other universities.","in my opinion, uniten is not really a student-oriented university even though it is a private university. the facility is not in well-maintained condition and the flexibility of using the facilities is low. the number of students also low compared to other universities.","In my opinion, Uniten is not really a student-oriented university even though it is a private university. The facility is not in well-maintained condition and the flexibility of using the facilities is low. The number of students is also low compared to other universities.",in my opinion uniten is not really a studentoriented university even though it is a private university the facility is not in wellmaintained condition and the flexibility of using the facilities is low the number of students is also low compared to other universities,in my opinion uniten is not really a studentoriented university even though it is a private university the facility is not in wellmaintained condition and the flexibility of using the facilities is low the number of students is also low compared to other universities,in my opinion uniten is not really a studentoriented university even though it is a private university the facility is not in wellmaintained condition and the flexibility of using the facilities is low the number of students is also low compared to other universities,in my opinion united is not really a studentoriented university even though it is a private university the facility is not in wellmaintained condition and the flexibility of using the facilities is low the number of students is also low compared to other universities
2025/02/10 7:57:43 pm GMT+8,"UNITEN today is the shadow of its former self. What attracted me to UNITEN in the first place is not there anymore, e.g; our very own faculty building. The student dedicated website is terrible. I can name thousands of thousands website that is infinitely better. The hostel room application is ridiculous. The only pros that I could ever think of is the location of the campus that is situated near to major cities.","uniten today is the shadow of its former self. what attracted me to uniten in the first place is not there anymore, e.g; our very own faculty building. the student dedicated website is terrible. i can name thousands of thousands website that is infinity better. the hostel room application is ridiculous. the only pros that i could ever think of was the location of the campus that was situated near to major cities.","uniten today is the shadow of its former self. what attracted me to uniten in the first place is not there anymore, e.g; our very own faculty building. the student dedicated website is terrible. i can name thousands of thousands website that is infinitely better. the hostel room application is ridiculous. the only pros that i could ever think of is the location of the campus that is situated near to major cities.","Uniten today is the shadow of its former self. What attracted me to Uniten in the first place is not there anymore, E.G; Our very own faculty building. The student dedicated website is terrible. I can name thousands of thousands website that is infinity better. The hostel room application is ridiculous. The only pros that I could ever think of was the location of the campus that was situated near to major cities.",uniten today is the shadow of its former self what attracted me to uniten in the first place is not there anymore eg our very own faculty building the student dedicated website is terrible i can name thousands of thousands website that is infinity better the hostel room application is ridiculous the only pros that i could ever think of was the location of the campus that was situated near to major cities,uniten today is the shadow of its former self what attracted me to uniten in the first place is not there anymore eg our very own faculty building the student dedicated website is terrible i can name thousands of thousands website that is infinity better the hostel room application is ridiculous the only pros that i could ever think of was the location of the campus that was situated near to major cities,uniten today is the shadow of its former self what attracted me to uniten in the first place is not there anymore eg our very own faculty building the student dedicated website is terrible i can name thousands of thousands website that is infinity better the hostel room application is ridiculous the only pros that i could ever think of was the location of the campus that was situated near to major cities,united today is the shadow of its former self what attracted me to united in the first place is not there anymore eg our very own faculty building the student dedicated website is terrible i can name thousands of thousands website that is infinity better the hostel room application is ridiculous the only pros that i could ever think of was the location of the campus that was situated near to major cities
2025/02/10 7:58:31 pm GMT+8,The great place and people that I will remember forever ,the great place and people that i will remember forever,the great place and people that i will remember forever ,The Great Place and People that I will remember forever,the great place and people that i will remember forever,the great place and people that i will remember forever,the great place and people that i will remember forever,the great place and people that i will remember forever
